Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,144637,-,-,-,39.21,-121.06,-8,766,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature
2015,1,1,0,0,0,0,-0.46112670898435226
2015,1,1,0,30,0,0,-0.5283264160156023
2015,1,1,1,0,0,0,-0.5954956054687273
2015,1,1,1,30,0,0,-0.6744750976562273
2015,1,1,2,0,0,0,-0.7534240722656023
2015,1,1,2,30,0,0,-0.8500427246093523
2015,1,1,3,0,0,0,-0.9466308593749773
2015,1,1,3,30,0,0,-1.0390991210937273
2015,1,1,4,0,0,0,-1.1315673828124773
2015,1,1,4,30,0,0,-1.2104858398437273
2015,1,1,5,0,0,0,-1.2893737792968523
2015,1,1,5,30,0,0,-1.3695434570312273
2015,1,1,6,0,0,0,-1.4496826171874773
2015,1,1,6,30,0,0,-1.5344909667968523
2015,1,1,7,0,0,0,-1.6193298339843523
2015,1,1,7,30,0,0,-0.7724975585937273
2015,1,1,8,0,28,452,0.07430419921877274
2015,1,1,8,30,42,632,1.5281921386718977
2015,1,1,9,0,51,739,2.9820495605468977
2015,1,1,9,30,58,807,4.450860595703148
2015,1,1,10,0,63,853,5.919641113281273
2015,1,1,10,30,66,883,6.962304687500023
2015,1,1,11,0,69,903,8.004968261718773
2015,1,1,11,30,70,914,8.530236816406273
2015,1,1,12,0,71,918,9.055535888671898
2015,1,1,12,30,70,915,9.173486328125023
2015,1,1,13,0,69,906,9.291436767578148
2015,1,1,13,30,67,889,9.023706054687523
2015,1,1,14,0,64,863,8.755975341796898
2015,1,1,14,30,60,825,7.740014648437523
2015,1,1,15,0,55,768,6.724084472656273
2015,1,1,15,30,47,684,4.837091064453148
2015,1,1,16,0,36,550,2.9501281738281477
2015,1,1,16,30,19,312,2.3098388671875227
2015,1,1,17,0,0,0,1.6695495605468977
2015,1,1,17,30,0,0,1.4863220214843977
2015,1,1,18,0,0,0,1.3030944824218977
