Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,1321407,-,-,-,42.25,-71.22,-5,63,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature
2015,1,1,0,0,0,0,-6.315527343749977
2015,1,1,0,30,0,0,-6.319372558593727
2015,1,1,1,0,0,0,-6.323217773437477
2015,1,1,1,30,0,0,-6.206945800781227
2015,1,1,2,0,0,0,-6.090704345703102
2015,1,1,2,30,0,0,-5.929388427734352
2015,1,1,3,0,0,0,-5.768103027343727
2015,1,1,3,30,0,0,-5.817510986328102
2015,1,1,4,0,0,0,-5.866949462890602
2015,1,1,4,30,0,0,-6.043707275390602
2015,1,1,5,0,0,0,-6.220465087890602
2015,1,1,5,30,0,0,-6.313269042968727
2015,1,1,6,0,0,0,-6.406072998046852
2015,1,1,6,30,0,0,-6.398382568359352
2015,1,1,7,0,0,0,-6.390692138671852
2015,1,1,7,30,14,254,-5.793188476562477
2015,1,1,8,0,32,521,-5.195654296874977
2015,1,1,8,30,43,664,-4.380102539062477
2015,1,1,9,0,52,752,-3.5645507812499773
2015,1,1,9,30,58,810,-2.8960937499999773
2015,1,1,10,0,62,848,-2.2276062011718523
2015,1,1,10,30,65,873,-1.7829956054687273
2015,1,1,11,0,67,888,-1.3383544921874773
2015,1,1,11,30,68,894,-1.0348876953124773
2015,1,1,12,0,68,892,-0.7313903808593523
2015,1,1,12,30,67,885,-0.5874084472656023
2015,1,1,13,0,65,870,-0.44342651367185226
2015,1,1,13,30,63,849,-0.5086730957031023
2015,1,1,14,0,59,815,-0.5739501953124773
2015,1,1,14,30,53,761,-0.9058288574218523
2015,1,1,15,0,45,680,-1.2377075195312273
2015,1,1,15,30,35,549,-1.4917053222656023
2015,1,1,16,0,34,0,-1.7456726074218523
2015,1,1,16,30,0,0,-1.7697814941406023
2015,1,1,17,0,0,0,-1.7938598632812273
2015,1,1,17,30,0,0,-1.7583984374999773
2015,1,1,18,0,0,0,-1.7229675292968523
2015,1,1,18,30,0,0,-1.7071899414062273
2015,1,1,19,0,0,0,-1.6914123535156023
2015,1,1,19,30,0,0,-1.7385009765624773
2015,1,1,20,0,0,0,-1.7855590820312273
2015,1,1,20,30,0,0,-1.8111633300781023
2015,1,1,21,0,0,0,-1.8367980957031023
2015,1,1,21,30,0,0,-1.7638305664062273
2015,1,1,22,0,0,0,-1.6908325195312273
2015,1,1,22,30,0,0,-1.6210388183593523
2015,1,1,23,0,0,0,-1.5512451171874773
2015,1,1,23,30,0,0,-1.5422729492187273
2015,1,2,0,0,0,0,-1.5333007812499773
2015,1,2,0,30,0,0,-1.5641845703124773
2015,1,2,1,0,0,0,-1.5950988769531023
2015,1,2,1,30,0,0,-1.6488708496093523
2015,1,2,2,0,0,0,-1.7026123046874773
2015,1,2,2,30,0,0,-1.7706665039062273
2015,1,2,3,0,0,0,-1.8387207031249773
2015,1,2,3,30,0,0,-1.9076599121093523
2015,1,2,4,0,0,0,-1.9765991210937273
2015,1,2,4,30,0,0,-2.0198730468749773
2015,1,2,5,0,0,0,-2.0631164550781023
2015,1,2,5,30,0,0,-2.0591186523437273
2015,1,2,6,0,0,0,-2.0550903320312273
2015,1,2,6,30,0,0,-1.8911499023437273
2015,1,2,7,0,0,0,-1.7272399902343523
2015,1,2,7,30,14,229,-0.9915527343749773
2015,1,2,8,0,31,490,-0.25586547851560226
2015,1,2,8,30,43,636,0.6987854003906477
2015,1,2,9,0,51,729,1.6534362792968977
2015,1,2,9,30,57,790,2.3129211425781477
2015,1,2,10,0,62,832,2.9724060058593977
2015,1,2,10,30,155,51,3.1997619628906477
2015,1,2,11,0,158,29,3.4271484375000227
2015,1,2,11,30,174,56,3.4528747558593977
2015,1,2,12,0,93,0,3.4786010742187727
2015,1,2,12,30,139,0,3.4171081542968977
2015,1,2,13,0,93,0,3.3555847167968977
2015,1,2,13,30,63,841,3.1880737304687727
2015,1,2,14,0,59,804,3.0205627441406477
2015,1,2,14,30,53,750,2.3739562988281477
2015,1,2,15,0,45,669,1.7273803710937727
2015,1,2,15,30,35,542,0.9571166992187727
2015,1,2,16,0,19,322,0.18688354492189774
2015,1,2,16,30,0,0,-0.12363281249997726
2015,1,2,17,0,0,0,-0.43414916992185226
2015,1,2,17,30,0,0,-0.6853088378906023
2015,1,2,18,0,0,0,-0.9364685058593523
2015,1,2,18,30,0,0,-1.1819213867187273
2015,1,2,19,0,0,0,-1.4273742675781023
2015,1,2,19,30,0,0,-1.6419433593749773
2015,1,2,20,0,0,0,-1.8565124511718523
2015,1,2,20,30,0,0,-2.0533813476562273
2015,1,2,21,0,0,0,-2.2502502441406023
2015,1,2,21,30,0,0,-2.4418090820312273
2015,1,2,22,0,0,0,-2.6333374023437273
2015,1,2,22,30,0,0,-2.8852294921874773
2015,1,2,23,0,0,0,-3.1371215820312273
2015,1,2,23,30,0,0,-3.4044555664062273
2015,1,3,0,0,0,0,-3.6717590332031023
2015,1,3,0,30,0,0,-4.007910156249977
2015,1,3,1,0,0,0,-4.344061279296852
2015,1,3,1,30,0,0,-4.628027343749977
2015,1,3,2,0,0,0,-4.911993408203102
2015,1,3,2,30,0,0,-5.137670898437477
2015,1,3,3,0,0,0,-5.363378906249977
2015,1,3,3,30,0,0,-5.516668701171852
2015,1,3,4,0,0,0,-5.669958496093727
2015,1,3,4,30,0,0,-5.744024658203102
2015,1,3,5,0,0,0,-5.818060302734352
2015,1,3,5,30,0,0,-6.035040283203102
2015,1,3,6,0,0,0,-6.251989746093727
2015,1,3,6,30,0,0,-6.194799804687477
2015,1,3,7,0,0,0,-6.137609863281227
2015,1,3,7,30,15,0,-5.477117919921852
2015,1,3,8,0,36,213,-4.816656494140602
2015,1,3,8,30,61,267,-4.024481201171852
2015,1,3,9,0,81,339,-3.2323059082031023
2015,1,3,9,30,93,432,-2.6506713867187273
2015,1,3,10,0,135,264,-2.0690368652343523
2015,1,3,10,30,156,54,-1.7135681152343523
2015,1,3,11,0,154,347,-1.3580688476562273
2015,1,3,11,30,182,125,-1.0114501953124773
2015,1,3,12,0,177,66,-0.6648620605468523
2015,1,3,12,30,159,24,-0.6132263183593523
2015,1,3,13,0,151,26,-0.5615905761718523
2015,1,3,13,30,132,13,-0.5641845703124773
2015,1,3,14,0,48,0,-0.5667785644531023
2015,1,3,14,30,19,0,-0.7880004882812273
2015,1,3,15,0,47,0,-1.0092224121093523
2015,1,3,15,30,27,0,-1.1945251464843523
2015,1,3,16,0,9,0,-1.3798583984374773
2015,1,3,16,30,0,0,-1.3983825683593523
2015,1,3,17,0,0,0,-1.4169067382812273
2015,1,3,17,30,0,0,-1.3395751953124773
2015,1,3,18,0,0,0,-1.2622436523437273
2015,1,3,18,30,0,0,-1.0325073242187273
2015,1,3,19,0,0,0,-0.8028015136718523
2015,1,3,19,30,0,0,-0.5155395507812273
2015,1,3,20,0,0,0,-0.22827758789060226
2015,1,3,20,30,0,0,0.015954589843772737
2015,1,3,21,0,0,0,0.26021728515627274
2015,1,3,21,30,0,0,0.5342346191406477
2015,1,3,22,0,0,0,0.8082824707031477
2015,1,3,22,30,0,0,1.0562072753906477
2015,1,3,23,0,0,0,1.3041625976562727
2015,1,3,23,30,0,0,1.6297241210937727
2015,1,4,0,0,0,0,1.9552856445312727
2015,1,4,0,30,0,0,2.3170410156250227
2015,1,4,1,0,0,0,2.6787963867187727
2015,1,4,1,30,0,0,2.8314758300781477
2015,1,4,2,0,0,0,2.9841552734375227
2015,1,4,2,30,0,0,2.7921997070312727
2015,1,4,3,0,0,0,2.6002441406250227
2015,1,4,3,30,0,0,2.6445251464843977
2015,1,4,4,0,0,0,2.6888366699218977
2015,1,4,4,30,0,0,2.7829833984375227
2015,1,4,5,0,0,0,2.8771606445312727
2015,1,4,5,30,0,0,2.8693176269531477
2015,1,4,6,0,0,0,2.8615051269531477
2015,1,4,6,30,0,0,2.7521911621093977
2015,1,4,7,0,0,0,2.6428771972656477
2015,1,4,7,30,1,0,2.6455932617187727
2015,1,4,8,0,7,0,2.6483093261718977
2015,1,4,8,30,26,0,2.7354064941406477
2015,1,4,9,0,22,0,2.8225036621093977
2015,1,4,9,30,68,0,3.0688110351562727
2015,1,4,10,0,74,0,3.3151184082031477
2015,1,4,10,30,66,0,3.8034606933593977
2015,1,4,11,0,125,0,4.291772460937523
2015,1,4,11,30,94,0,4.814233398437523
2015,1,4,12,0,67,0,5.336694335937523
