Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,120482,-,-,-,38.45,-122.66,-8,85,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature
2015,1,1,0,0,0,0,1.8980957031250227
2015,1,1,0,30,0,0,1.7865539550781477
2015,1,1,1,0,0,0,1.6750122070312727
2015,1,1,1,30,0,0,1.5519348144531477
2015,1,1,2,0,0,0,1.4288879394531477
2015,1,1,2,30,0,0,1.3108154296875227
2015,1,1,3,0,0,0,1.1927429199218977
2015,1,1,3,30,0,0,1.0741210937500227
2015,1,1,4,0,0,0,0.9554687500000227
2015,1,1,4,30,0,0,0.8321166992187727
2015,1,1,5,0,0,0,0.7087646484375227
2015,1,1,5,30,0,0,0.5543151855468977
2015,1,1,6,0,0,0,0.39986572265627274
2015,1,1,6,30,0,0,0.35836181640627274
2015,1,1,7,0,0,0,0.31682739257814774
2015,1,1,7,30,0,0,1.1880432128906477
2015,1,1,8,0,26,398,2.0592590332031477
2015,1,1,8,30,40,593,3.3742309570312727
2015,1,1,9,0,50,709,4.689202880859398
2015,1,1,9,30,57,783,5.914971923828148
2015,1,1,10,0,63,832,7.140710449218773
2015,1,1,10,30,66,866,7.848535156250023
2015,1,1,11,0,69,888,8.556329345703148
2015,1,1,11,30,71,902,9.034020996093773
2015,1,1,12,0,71,908,9.511682128906273
2015,1,1,12,30,71,907,9.718682861328148
2015,1,1,13,0,71,899,9.925714111328148
2015,1,1,13,30,69,885,9.882684326171898
2015,1,1,14,0,66,861,9.839654541015648
2015,1,1,14,30,62,827,9.259790039062523
2015,1,1,15,0,57,776,8.679956054687523
2015,1,1,15,30,50,700,6.668786621093773
2015,1,1,16,0,40,584,4.657617187500023
2015,1,1,16,30,25,384,3.5402465820312727
2015,1,1,17,0,0,0,2.4228759765625227
2015,1,1,17,30,0,0,2.0729919433593977
2015,1,1,18,0,0,0,1.7231079101562727
2015,1,1,18,30,0,0,1.3865295410156477
2015,1,1,19,0,0,0,1.0499206542968977
2015,1,1,19,30,0,0,0.7159667968750227
2015,1,1,20,0,0,0,0.38201293945314774
2015,1,1,20,30,0,0,0.07900390625002274
2015,1,1,21,0,0,0,-0.22400512695310226
2015,1,1,21,30,0,0,-0.45654907226560226
2015,1,1,22,0,0,0,-0.6891235351562273
2015,1,1,22,30,0,0,-0.8347229003906023
2015,1,1,23,0,0,0,-0.9803222656249773
2015,1,1,23,30,0,0,-1.0458435058593523
2015,1,2,0,0,0,0,-1.1113647460937273
2015,1,2,0,30,0,0,-1.1129516601562273
2015,1,2,1,0,0,0,-1.1145385742187273
2015,1,2,1,30,0,0,-1.1276611328124773
2015,1,2,2,0,0,0,-1.1408142089843523
2015,1,2,2,30,0,0,-1.2348083496093523
2015,1,2,3,0,0,0,-1.3288024902343523
2015,1,2,3,30,0,0,-1.4679931640624773
2015,1,2,4,0,0,0,-1.6071838378906023
2015,1,2,4,30,0,0,-1.7377075195312273
2015,1,2,5,0,0,0,-1.8682312011718523
2015,1,2,5,30,0,0,-1.9773315429687273
2015,1,2,6,0,0,0,-2.0864318847656023
2015,1,2,6,30,0,0,-1.9208435058593523
2015,1,2,7,0,0,0,-1.7552246093749773
2015,1,2,7,30,0,0,-0.24457397460935226
2015,1,2,8,0,25,382,1.2660766601562727
2015,1,2,8,30,40,576,2.6914001464843977
2015,1,2,9,0,50,691,4.116723632812523
2015,1,2,9,30,57,765,5.834039306640648
2015,1,2,10,0,62,815,7.551385498046898
2015,1,2,10,30,66,850,8.658624267578148
2015,1,2,11,0,68,873,9.765832519531273
2015,1,2,11,30,70,887,10.415979003906273
2015,1,2,12,0,71,894,11.066125488281273
2015,1,2,12,30,71,894,11.336816406250023
2015,1,2,13,0,70,887,11.607476806640648
2015,1,2,13,30,68,873,11.531304931640648
2015,1,2,14,0,66,849,11.455133056640648
2015,1,2,14,30,62,815,10.821496582031273
2015,1,2,15,0,57,764,10.187890625000023
2015,1,2,15,30,50,689,7.922540283203148
2015,1,2,16,0,39,574,5.657189941406273
2015,1,2,16,30,25,378,4.569787597656273
2015,1,2,17,0,0,0,3.4823852539062727
2015,1,2,17,30,0,0,3.1360412597656477
2015,1,2,18,0,0,0,2.7897277832031477
2015,1,2,18,30,0,0,2.4810729980468977
2015,1,2,19,0,0,0,2.1724182128906477
2015,1,2,19,30,0,0,1.9048706054687727
2015,1,2,20,0,0,0,1.6373229980468977
2015,1,2,20,30,0,0,1.4105163574218977
2015,1,2,21,0,0,0,1.1837097167968977
2015,1,2,21,30,0,0,0.9889160156250227
2015,1,2,22,0,0,0,0.7940917968750227
2015,1,2,22,30,0,0,0.6251464843750227
2015,1,2,23,0,0,0,0.45617065429689774
2015,1,2,23,30,0,0,0.30233154296877274
2015,1,3,0,0,0,0,0.14849243164064774
2015,1,3,0,30,0,0,0.011071777343772737
2015,1,3,1,0,0,0,-0.12634887695310226
2015,1,3,1,30,0,0,-0.24930419921872726
2015,1,3,2,0,0,0,-0.37229003906247726
2015,1,3,2,30,0,0,-0.5261291503906023
2015,1,3,3,0,0,0,-0.6799987792968523
2015,1,3,3,30,0,0,-0.8345703124999773
2015,1,3,4,0,0,0,-0.9891418457031023
2015,1,3,4,30,0,0,-1.1415466308593523
2015,1,3,5,0,0,0,-1.2939819335937273
2015,1,3,5,30,0,0,-1.4481262207031023
2015,1,3,6,0,0,0,-1.6022705078124773
2015,1,3,6,30,0,0,-1.4293884277343523
2015,1,3,7,0,0,0,-1.2565063476562273
2015,1,3,7,30,0,0,0.49703369140627274
2015,1,3,8,0,25,367,2.2505737304687727
2015,1,3,8,30,39,560,3.5798889160156477
2015,1,3,9,0,49,675,4.909204101562523
2015,1,3,9,30,56,749,6.426599121093773
2015,1,3,10,0,61,800,7.943963623046898
2015,1,3,10,30,65,834,9.058343505859398
2015,1,3,11,0,68,857,10.172692871093773
2015,1,3,11,30,70,872,11.012811279296898
2015,1,3,12,0,70,879,11.852899169921898
2015,1,3,12,30,70,879,12.242639160156273
2015,1,3,13,0,70,872,12.632348632812523
2015,1,3,13,30,68,859,12.582788085937523
2015,1,3,14,0,65,836,12.533197021484398
2015,1,3,14,30,62,802,11.847009277343773
2015,1,3,15,0,56,752,11.160821533203148
2015,1,3,15,30,49,679,8.929315185546898
2015,1,3,16,0,39,566,6.697778320312523
2015,1,3,16,30,25,375,5.532373046875023
2015,1,3,17,0,0,0,4.366967773437523
