Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,121808,-,-,-,47.53,-122.58,-8,100,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature
2015,1,1,0,0,0,0,0.7435546875000227
2015,1,1,0,30,0,0,0.33803710937502274
2015,1,1,1,0,0,0,-0.06748046874997726
2015,1,1,1,30,0,0,-0.32562866210935226
2015,1,1,2,0,0,0,-0.5838073730468523
2015,1,1,2,30,0,0,-0.7071899414062273
2015,1,1,3,0,0,0,-0.8305419921874773
2015,1,1,3,30,0,0,-0.8888305664062273
2015,1,1,4,0,0,0,-0.9470886230468523
2015,1,1,4,30,0,0,-0.9893859863281023
2015,1,1,5,0,0,0,-1.0316528320312273
2015,1,1,5,30,0,0,-1.1213439941406023
2015,1,1,6,0,0,0,-1.2110351562499773
2015,1,1,6,30,0,0,-1.3619445800781023
2015,1,1,7,0,0,0,-1.5128845214843523
2015,1,1,7,30,0,0,-1.3684143066406023
2015,1,1,8,0,0,0,-1.2239746093749773
2015,1,1,8,30,20,314,-0.7486938476562273
2015,1,1,9,0,33,489,-0.27341308593747726
2015,1,1,9,30,42,597,0.8996520996093977
2015,1,1,10,0,48,668,2.0726867675781477
2015,1,1,10,30,52,715,2.8318115234375227
2015,1,1,11,0,55,746,3.5909057617187727
2015,1,1,11,30,57,765,3.9272399902343977
2015,1,1,12,0,58,774,4.263543701171898
2015,1,1,12,30,58,773,4.260186767578148
2015,1,1,13,0,57,762,4.256860351562523
2015,1,1,13,30,55,743,3.9928222656250227
2015,1,1,14,0,52,710,3.7287536621093977
2015,1,1,14,30,47,661,3.4592834472656477
2015,1,1,15,0,41,588,3.1897827148437727
2015,1,1,15,30,32,476,3.6914306640625227
2015,1,1,16,0,19,297,4.193078613281273
2015,1,1,16,30,0,0,4.178094482421898
2015,1,1,17,0,0,0,4.163079833984398
2015,1,1,17,30,0,0,4.062768554687523
2015,1,1,18,0,0,0,3.9624267578125227
2015,1,1,18,30,0,0,3.8476501464843977
2015,1,1,19,0,0,0,3.7328735351562727
2015,1,1,19,30,0,0,3.5871520996093977
2015,1,1,20,0,0,0,3.4414001464843977
2015,1,1,20,30,0,0,3.4764343261718977
2015,1,1,21,0,0,0,3.5114685058593977
2015,1,1,21,30,0,0,3.6270080566406477
2015,1,1,22,0,0,0,3.7425170898437727
2015,1,1,22,30,0,0,3.7484985351562727
2015,1,1,23,0,0,0,3.7544494628906477
2015,1,1,23,30,0,0,3.6490722656250227
2015,1,2,0,0,0,0,3.5436950683593977
2015,1,2,0,30,0,0,3.4115234375000227
2015,1,2,1,0,0,0,3.2793518066406477
2015,1,2,1,30,0,0,3.5319763183593977
2015,1,2,2,0,0,0,3.7846008300781477
2015,1,2,2,30,0,0,3.8756347656250227
2015,1,2,3,0,0,0,3.9666992187500227
2015,1,2,3,30,0,0,3.6488891601562727
2015,1,2,4,0,0,0,3.3310485839843977
2015,1,2,4,30,0,0,2.8186584472656477
2015,1,2,5,0,0,0,2.3062377929687727
2015,1,2,5,30,0,0,2.1643615722656477
2015,1,2,6,0,0,0,2.0225158691406477
2015,1,2,6,30,0,0,1.3990417480468977
2015,1,2,7,0,0,0,0.7755981445312727
2015,1,2,7,30,0,0,0.6795593261718977
2015,1,2,8,0,0,0,0.5835205078125227
2015,1,2,8,30,10,0,1.0833374023437727
2015,1,2,9,0,24,0,1.5831237792968977
2015,1,2,9,30,39,0,2.2868286132812727
2015,1,2,10,0,45,0,2.9905029296875227
2015,1,2,10,30,39,0,3.6924682617187727
2015,1,2,11,0,35,0,4.394433593750023
2015,1,2,11,30,69,0,4.662500000000023
2015,1,2,12,0,75,0,4.930566406250023
2015,1,2,12,30,71,0,4.762750244140648
2015,1,2,13,0,31,0,4.594934082031273
2015,1,2,13,30,21,0,4.288323974609398
2015,1,2,14,0,4,0,3.9817443847656477
2015,1,2,14,30,11,0,3.4613281250000227
2015,1,2,15,0,14,0,2.9409118652343977
2015,1,2,15,30,9,0,2.3115173339843977
2015,1,2,16,0,20,317,1.6821228027343977
2015,1,2,16,30,0,0,1.7278076171875227
2015,1,2,17,0,0,0,1.7734619140625227
2015,1,2,17,30,0,0,1.9836975097656477
2015,1,2,18,0,0,0,2.1939331054687727
2015,1,2,18,30,0,0,2.5529724121093977
2015,1,2,19,0,0,0,2.9119812011718977
2015,1,2,19,30,0,0,3.7838989257812727
2015,1,2,20,0,0,0,4.655847167968773
2015,1,2,20,30,0,0,4.856896972656273
2015,1,2,21,0,0,0,5.057946777343773
2015,1,2,21,30,0,0,5.126031494140648
2015,1,2,22,0,0,0,5.194116210937523
2015,1,2,22,30,0,0,5.238458251953148
2015,1,2,23,0,0,0,5.282830810546898
2015,1,2,23,30,0,0,5.239739990234398
2015,1,3,0,0,0,0,5.196618652343773
2015,1,3,0,30,0,0,5.243096923828148
2015,1,3,1,0,0,0,5.289605712890648
2015,1,3,1,30,0,0,5.342370605468773
2015,1,3,2,0,0,0,5.395135498046898
2015,1,3,2,30,0,0,5.433892822265648
2015,1,3,3,0,0,0,5.472650146484398
2015,1,3,3,30,0,0,5.513879394531273
2015,1,3,4,0,0,0,5.555139160156273
2015,1,3,4,30,0,0,5.477899169921898
2015,1,3,5,0,0,0,5.400659179687523
2015,1,3,5,30,0,0,5.230889892578148
2015,1,3,6,0,0,0,5.061151123046898
2015,1,3,6,30,0,0,5.014733886718773
2015,1,3,7,0,0,0,4.968316650390648
2015,1,3,7,30,0,0,4.297937011718773
2015,1,3,8,0,0,0,3.6275268554687727
2015,1,3,8,30,13,0,3.6081176757812727
2015,1,3,9,0,32,0,3.5886779785156477
2015,1,3,9,30,51,0,3.8993469238281477
2015,1,3,10,0,89,55,4.209985351562523
2015,1,3,10,30,56,0,4.406915283203148
2015,1,3,11,0,121,59,4.603814697265648
2015,1,3,11,30,61,0,4.905938720703148
2015,1,3,12,0,65,0,5.208062744140648
2015,1,3,12,30,115,0,5.191735839843773
2015,1,3,13,0,29,0,5.175408935546898
2015,1,3,13,30,95,0,5.404992675781273
2015,1,3,14,0,108,162,5.634576416015648
2015,1,3,14,30,66,0,5.782281494140648
2015,1,3,15,0,16,0,5.929956054687523
2015,1,3,15,30,10,0,5.213769531250023
2015,1,3,16,0,4,0,4.497552490234398
2015,1,3,16,30,0,0,3.9866882324218977
2015,1,3,17,0,0,0,3.4758239746093977
2015,1,3,17,30,0,0,3.5465637207031477
2015,1,3,18,0,0,0,3.6173034667968977
2015,1,3,18,30,0,0,3.1546875000000227
2015,1,3,19,0,0,0,2.6920715332031477
2015,1,3,19,30,0,0,2.4386230468750227
2015,1,3,20,0,0,0,2.1851745605468977
2015,1,3,20,30,0,0,2.3150573730468977
2015,1,3,21,0,0,0,2.4449096679687727
2015,1,3,21,30,0,0,2.3588500976562727
2015,1,3,22,0,0,0,2.2727905273437727
2015,1,3,22,30,0,0,2.1608825683593977
2015,1,3,23,0,0,0,2.0489440917968977
2015,1,3,23,30,0,0,1.9886718750000227
2015,1,4,0,0,0,0,1.9283996582031477
2015,1,4,0,30,0,0,1.8908020019531477
2015,1,4,1,0,0,0,1.8532043457031477
2015,1,4,1,30,0,0,1.9224792480468977
2015,1,4,2,0,0,0,1.9917236328125227
2015,1,4,2,30,0,0,1.9935546875000227
